station_name,station_id,agency,city,county,latitude,longitude,station_type,total_amenities,diversity_score,nearest_amenity_m,grocery,park,clinic,pharmacy,hospital,doctors,childcare,kindergartens,convenience,median_income,total_pop,total_households,households_no_vehicle,pct_no_vehicle,pct_nonwhite,GEOID,amenities_per_1000,healthcare_total,equity_flag,disadvantage_score,access_score,equity_concern
Glen Park,GLEN,BART,San Francisco,sanfrancisco,37.733064,-122.433817,core,13,4,72.17350250000975,3,6,1,1,0,0,0,0,2,124324.0,4126,1668,489,29.31654676258993,56.204556471158504,6075042601,3.150751333010179,1,False,0.5418671315156147,-0.2118153744051788,False
College Park,college_park,Caltrain,,,37.34289,-121.91565,core,12,3,269.61698190656426,2,2,3,0,0,2,1,1,1,98722.0,5737,1927,43,2.231447846393358,67.82290395677182,6085512023,2.0916855499389926,3,False,0.3595905984288241,-0.2839038001481178,False
South San Francisco Caltrain Station,south_sf,Caltrain,,,37.655941416,-122.404979006,core,12,2,234.68262829316777,1,4,0,0,0,0,1,0,6,212667.0,4162,1704,596,34.97652582159624,33.82988947621336,6075016400,2.883229216722729,0,False,-0.20020037024347412,-0.2839038001481178,False
San Francisco International Airport,SFIA,BART,San Francisco Int'l Airport,sanmateo,37.615966,-122.392409,core,12,2,272.9176608718991,0,1,1,0,0,0,0,0,10,250001.0,4783,1688,0,0.0,23.290821660045996,6081609700,2.5088856366297305,1,False,-1.2362328316270357,-0.2839038001481178,False
California Avenue,california_ave,Caltrain,,,37.428834,-122.14113,core,11,3,93.28738793732994,3,3,3,0,0,0,0,0,2,116548.0,4558,1014,22,2.169625246548323,81.5269855199649,6081611800,2.413339183852567,3,False,0.48062290015573844,-0.3559922258910568,False
Lafayette,LAFY,BART,Lafayette,contracosta,37.893176,-122.12463,peripheral,11,3,200.5774325706115,4,4,1,0,0,0,0,0,2,66887.0,2539,1054,60,5.692599620493358,68.53091768412762,6013336104,4.332414336352895,1,False,0.6122988561717473,-0.3559922258910568,False
San Leandro,SANL,BART,San Leandro,alameda,37.721947,-122.160844,core,11,3,327.0609992369004,2,3,0,2,0,1,0,0,3,250001.0,4441,1605,35,2.1806853582554515,26.593109659986492,6081612900,2.4769196126998425,0,False,-1.1418976416324278,-0.3559922258910568,False
Burlingame,burlingame,Caltrain,,,37.57985,-122.34418,core,11,4,49.41914601775822,2,5,2,1,0,0,0,0,1,126188.0,5633,2101,46,2.1894336030461687,49.05023965915143,6081603900,1.952778270903604,2,False,-0.09545446158435693,-0.3559922258910568,False
Belmont,belmont,Caltrain,,,37.52133,-122.2763,core,11,2,133.17460090735344,2,5,0,0,0,1,0,0,3,234659.0,2366,773,9,1.1642949547218628,62.1301775147929,6081608023,4.649196956889265,0,False,-0.5037993042072947,-0.3559922258910568,False
Berryessa/North San Jose,BERY,BART,San Jose,santaclara,37.368473,-121.874681,peripheral,11,4,540.8525799957272,2,2,1,2,0,0,0,0,4,112969.0,2991,815,83,10.1840490797546,78.8699431628218,6085512042,3.67769976596456,1,False,0.6088061365547351,-0.3559922258910568,False
