station_name,agency,latitude,longitude,GEOID,median_income,pct_no_vehicle,pct_nonwhite,total_pop,geometry,total_amenities,grocery,park,clinic,pharmacy,hospital,doctors,childcare,convenience,kindergarten,station_type,ridership,need_pct,supply_pct,supply_gap,unmet_need_index,amenity_entropy
Burlingame,Caltrain,37.57985,-122.34418,06081605400,166972.0,3.12,44.18,6557,POINT (-122.34418 37.57985),11,2,5,2,1,0,0,0,1,0,peripheral,620.0,0.20253164556962025,0.5126582278481012,0.4873417721518988,0.09870213106873899,1.4142790651247086
California Avenue,Caltrain,37.428834,-122.14113,06085511400,250001.0,3.9,45.7,3608,POINT (-122.14113 37.428834),11,3,3,3,0,0,0,0,2,0,peripheral,817.0,0.25316455696202533,0.5126582278481012,0.4873417721518988,0.12337766383592375,1.3730039128771996
Capitol Caltrain Station,Caltrain,37.284016,-121.841899,06085503127,191908.0,2.92,76.58,5300,POINT (-121.841899 37.284016),10,1,3,0,0,0,0,0,5,0,peripheral,49.0,0.17721518987341772,0.4240506329113924,0.5759493670886076,0.10206697644608236,0.9368883075390159
College Park,Caltrain,37.34289,-121.91565,06085500300,107431.0,2.72,58.62,4195,POINT (-121.91565 37.34289),12,2,2,3,0,0,2,1,1,0,peripheral,41.0,0.14556962025316456,0.5632911392405063,0.43670886075949367,0.06357154302195162,1.7201934592198251
Gilroy,Caltrain,37.004466,-121.566727,06085512603,90139.0,5.74,84.23,4877,POINT (-121.566727 37.004466),16,2,2,0,2,0,3,1,5,0,peripheral,110.0,0.34177215189873417,0.6708860759493671,0.3291139240506329,0.11248197404262136,1.67458956699991
Hayward Park,Caltrain,37.553161,-122.309494,06081607600,133295.0,4.92,59.57,4566,POINT (-122.309494 37.553161),14,4,5,1,2,0,0,0,1,0,peripheral,366.0,0.2911392405063291,0.6329113924050633,0.36708860759493667,0.10687389841371574,1.4127446368638479
Hillsdale,Caltrain,37.542392678,-122.301612061,06081607500,233378.0,5.2,70.82,6569,POINT (-122.301612061 37.542392678),9,0,7,1,0,0,0,0,1,0,peripheral,1596.0,0.31645569620253167,0.35443037974683544,0.6455696202531646,0.20429418362441917,0.6837389058487535
Lawrence,Caltrain,37.3707,-121.9969,06085508708,250001.0,14.66,87.64,6682,POINT (-121.9969 37.3707),9,2,4,0,0,0,1,0,1,0,peripheral,686.0,0.7088607594936709,0.35443037974683544,0.6455696202531646,0.45761897131869894,1.2130075659799042
Menlo Park,Caltrain,37.4548,-122.18245,06081612500,165521.0,14.01,41.76,3937,POINT (-122.18245 37.4548),16,3,5,1,1,0,5,0,1,0,peripheral,863.0,0.6962025316455697,0.6708860759493671,0.3291139240506329,0.22912994712385837,1.5607002228431979
Millbrae,Caltrain,37.5999,-122.38675,06081604400,133654.0,6.82,73.18,5131,POINT (-122.38675 37.5999),23,5,4,3,2,0,0,0,9,0,core,1773.0,0.3987341772151899,0.8291139240506329,0.1708860759493671,0.06813811889120334,1.4811672841987036
Morgan Hill,Caltrain,37.129644,-121.650558,06085512312,206208.0,0.0,58.71,4066,POINT (-121.650558 37.129644),20,0,14,0,0,0,1,2,3,0,peripheral,130.0,0.0189873417721519,0.7468354430379747,0.25316455696202533,0.004806921967633392,0.9142855814670989
Mountain View,Caltrain,37.395067,-122.07722,06085509201,182611.0,11.23,52.15,5287,POINT (-122.07722 37.395067),13,0,5,2,2,0,2,0,1,0,core,2288.0,0.5949367088607594,0.6012658227848101,0.3987341772151899,0.23722159910270788,1.4677339293271525
Palo Alto,Caltrain,37.44322,-122.16429,06085511302,139167.0,34.41,54.15,3880,POINT (-122.16429 37.44322),27,3,9,5,3,0,5,0,1,0,core,3603.0,0.9113924050632911,0.8860759493670886,0.11392405063291144,0.1038295145008813,1.6249783052378037
Redwood City,Caltrain,37.485865,-122.2315,06081610202,185920.0,15.77,58.79,5064,POINT (-122.2315 37.485865),21,4,5,3,2,1,1,0,5,0,core,2111.0,0.7468354430379747,0.7848101265822784,0.21518987341772156,0.16071142445120976,1.7911087331546236
San Antonio,Caltrain,37.407239431,-122.107115562,06085509404,203864.0,7.45,67.66,6256,POINT (-122.107115562 37.407239431),20,5,12,1,1,0,0,0,1,0,peripheral,655.0,0.43037974683544306,0.7468354430379747,0.25316455696202533,0.10895689793302357,1.1024288055726656
San Bruno Caltrain Station,Caltrain,37.630460335,-122.411709042,06081604104,130077.0,7.78,77.85,3372,POINT (-122.411709042 37.630460335),13,3,5,0,0,0,0,0,5,0,peripheral,377.0,0.4430379746835443,0.6012658227848101,0.3987341772151899,0.17665438231052716,1.0733942812811266
San Carlos,Caltrain,37.508033,-122.2602,06081609100,242750.0,0.89,50.29,1541,POINT (-122.2602 37.508033),9,1,3,1,1,0,0,0,3,0,peripheral,644.0,0.06329113924050633,0.35443037974683544,0.6455696202531646,0.040858836724883836,1.464816384890813
San Francisco Caltrain Station,Caltrain,37.776404,-122.394911,06075060703,179727.0,32.35,57.98,6388,POINT (-122.394911 37.776404),25,3,9,5,1,0,2,2,3,0,core,6874.0,0.8860759493670886,0.8544303797468354,0.14556962025316456,0.12898573946482936,1.7314168963704044
San Jose Diridon,Caltrain,37.329694,-121.903208,06085500300,107431.0,2.72,58.62,4195,POINT (-121.903208 37.329694),19,1,4,1,0,0,0,0,10,0,core,2136.0,0.14556962025316456,0.7215189873417721,0.2784810126582279,0.040538375260374945,0.9868994488385301
San Martin,Caltrain,37.085984,-121.61048,06085512401,197540.0,1.76,52.79,3961,POINT (-121.61048 37.085984),4,1,0,0,0,0,0,1,2,0,peripheral,25.0,0.10126582278481013,0.0949367088607595,0.9050632911392404,0.09165197884954333,1.0397207708399179
San Mateo,Caltrain,37.56824,-122.3239,06081606202,138250.0,10.84,81.56,3428,POINT (-122.3239 37.56824),20,4,4,4,1,1,4,0,2,0,peripheral,1270.0,0.5822784810126582,0.7468354430379747,0.25316455696202533,0.1474122736740907,1.817382066602084
Santa Clara Caltrain Station,Caltrain,37.353384,-121.936465,06085505203,139028.0,9.28,51.2,5725,POINT (-121.936465 37.353384),7,0,3,0,1,0,1,0,2,0,peripheral,839.0,0.5443037974683544,0.23417721518987342,0.7658227848101266,0.4168402499599423,1.277034259466139
South San Francisco Caltrain Station,Caltrain,37.655941416,-122.404979006,06081602300,146750.0,6.81,81.74,4245,POINT (-122.404979006 37.655941416),12,1,4,0,0,0,0,1,6,0,peripheral,692.0,0.379746835443038,0.5632911392405063,0.43670886075949367,0.16583880788335204,1.1269287948006759
Sunnyvale,Caltrain,37.378934,-122.0315,06085508707,173165.0,9.09,78.88,3907,POINT (-122.0315 37.378934),5,1,1,0,1,0,1,0,0,0,peripheral,1770.0,0.5189873417721519,0.13924050632911392,0.8607594936708861,0.4467232815253966,1.3862943611198906
Tamien Caltrain Station,Caltrain,37.31269,-121.8847,06085503113,95625.0,13.07,78.55,4028,POINT (-121.8847 37.31269),10,1,3,0,1,0,1,0,4,0,peripheral,243.0,0.6708860759493671,0.4240506329113924,0.5759493670886076,0.3863964108315975,1.4184836619456562
